symbol,timestamp,open,high,low,close,volume,trade_count,vwap
STX,2025-06-30 19:55:00+00:00,144.41,144.41,144.29,144.33,6287.0,57.0,144.327045
STX,2025-06-30 19:56:00+00:00,144.32,144.32,144.26,144.26,2357.0,24.0,144.27221
STX,2025-06-30 19:57:00+00:00,144.24,144.385,144.23,144.34,3743.0,41.0,144.331813
STX,2025-06-30 19:58:00+00:00,144.305,144.37,144.29,144.325,3215.0,43.0,144.340284
STX,2025-06-30 19:59:00+00:00,144.27,144.38,144.26,144.35,3812.0,68.0,144.328519
STX,2025-07-01 13:30:00+00:00,143.77,143.77,143.77,143.77,804.0,14.0,143.77
STX,2025-07-01 13:31:00+00:00,144.0,144.15,144.0,144.15,613.0,12.0,144.05137
STX,2025-07-01 13:33:00+00:00,144.43,144.43,144.43,144.43,500.0,4.0,144.43
STX,2025-07-01 13:34:00+00:00,144.33,144.33,144.33,144.33,100.0,1.0,144.33
STX,2025-07-01 13:35:00+00:00,144.21,144.21,144.21,144.21,208.0,4.0,144.21
STX,2025-07-01 13:37:00+00:00,143.81,143.81,143.81,143.81,200.0,1.0,143.81
STX,2025-07-01 13:38:00+00:00,144.08,144.08,144.08,144.08,138.0,2.0,144.08
STX,2025-07-01 13:39:00+00:00,144.07,144.175,144.07,144.175,453.0,7.0,144.14
STX,2025-07-01 13:42:00+00:00,144.37,144.425,144.37,144.425,800.0,6.0,144.417143
STX,2025-07-01 13:44:00+00:00,144.27,144.27,144.27,144.27,130.0,3.0,144.27
STX,2025-07-01 13:45:00+00:00,144.3,144.31,144.3,144.31,200.0,2.0,144.305
STX,2025-07-01 13:46:00+00:00,144.33,144.385,144.31,144.385,656.0,9.0,144.346
STX,2025-07-01 13:47:00+00:00,144.49,144.49,144.49,144.49,159.0,6.0,144.49
STX,2025-07-01 13:48:00+00:00,144.5,144.54,144.5,144.54,364.0,7.0,144.52
STX,2025-07-01 13:49:00+00:00,144.535,144.535,144.45,144.45,431.0,6.0,144.506667
STX,2025-07-01 13:51:00+00:00,144.48,144.52,144.43,144.43,933.0,9.0,144.458742
STX,2025-07-01 13:52:00+00:00,144.38,144.385,144.33,144.385,758.0,12.0,144.356278
STX,2025-07-01 13:54:00+00:00,144.28,144.28,144.28,144.28,173.0,3.0,144.28
STX,2025-07-01 13:55:00+00:00,144.3,144.36,144.29,144.36,849.0,14.0,144.313333
STX,2025-07-01 13:56:00+00:00,144.395,144.395,144.3,144.32,1398.0,18.0,144.334649
STX,2025-07-01 13:58:00+00:00,144.29,144.31,144.25,144.31,944.0,14.0,144.26875
STX,2025-07-01 13:59:00+00:00,144.3,144.34,144.3,144.34,543.0,5.0,144.321481
STX,2025-07-01 14:00:00+00:00,144.315,144.46,144.315,144.46,1122.0,14.0,144.428478
STX,2025-07-01 14:01:00+00:00,144.545,144.545,144.545,144.545,101.0,2.0,144.545
STX,2025-07-01 14:02:00+00:00,144.56,144.56,144.56,144.56,218.0,5.0,144.56
STX,2025-07-01 14:03:00+00:00,144.545,144.545,144.535,144.535,559.0,6.0,144.5425
STX,2025-07-01 14:07:00+00:00,144.47,144.47,144.45,144.45,611.0,6.0,144.464545
STX,2025-07-01 14:10:00+00:00,144.58,144.59,144.48,144.48,1133.0,9.0,144.569369
STX,2025-07-01 14:11:00+00:00,144.46,144.46,144.46,144.46,364.0,4.0,144.46
STX,2025-07-01 14:12:00+00:00,144.46,144.46,144.46,144.46,108.0,3.0,144.46
STX,2025-07-01 14:13:00+00:00,144.485,144.49,144.485,144.49,470.0,10.0,144.488333
STX,2025-07-01 14:14:00+00:00,144.61,144.61,144.53,144.53,760.0,9.0,144.569048
STX,2025-07-01 14:15:00+00:00,144.515,144.515,144.515,144.515,142.0,6.0,144.515
STX,2025-07-01 14:16:00+00:00,144.76,144.76,144.69,144.69,550.0,7.0,144.705521
STX,2025-07-01 14:17:00+00:00,144.5,144.5,144.5,144.5,206.0,4.0,144.5
STX,2025-07-01 14:18:00+00:00,144.62,144.62,144.57,144.57,316.0,12.0,144.595
STX,2025-07-01 14:20:00+00:00,144.45,144.45,144.42,144.42,1315.0,6.0,144.44618
STX,2025-07-01 14:21:00+00:00,144.38,144.38,144.38,144.38,217.0,2.0,144.38
STX,2025-07-01 14:22:00+00:00,144.115,144.135,144.045,144.045,900.0,12.0,144.097303
STX,2025-07-01 14:23:00+00:00,143.95,143.95,143.94,143.94,560.0,10.0,143.942564
STX,2025-07-01 14:24:00+00:00,143.92,143.92,143.88,143.88,254.0,3.0,143.902533
STX,2025-07-01 14:25:00+00:00,143.86,143.915,143.83,143.915,969.0,11.0,143.886316
STX,2025-07-01 14:26:00+00:00,143.85,143.85,143.77,143.77,1020.0,14.0,143.817227
STX,2025-07-01 14:27:00+00:00,143.73,143.73,143.73,143.73,309.0,6.0,143.73
STX,2025-07-01 14:28:00+00:00,143.57,143.6,143.56,143.56,777.0,10.0,143.569058
STX,2025-07-01 14:29:00+00:00,143.57,143.57,143.56,143.56,414.0,11.0,143.563399
STX,2025-07-01 14:30:00+00:00,143.53,143.53,143.53,143.53,431.0,7.0,143.53
STX,2025-07-01 14:31:00+00:00,143.55,143.55,143.52,143.52,511.0,8.0,143.542248
STX,2025-07-01 14:32:00+00:00,143.61,143.61,143.61,143.61,206.0,4.0,143.61
STX,2025-07-01 14:33:00+00:00,143.57,143.59,143.4,143.4,532.0,9.0,143.511455
STX,2025-07-01 14:35:00+00:00,143.4,143.68,143.4,143.68,541.0,4.0,143.532692
STX,2025-07-01 14:36:00+00:00,143.39,143.39,143.36,143.36,3038.0,6.0,143.370605
STX,2025-07-01 14:37:00+00:00,143.405,143.405,143.34,143.34,406.0,5.0,143.383333
STX,2025-07-01 14:38:00+00:00,143.08,143.08,142.97,142.97,556.0,14.0,143.055446
STX,2025-07-01 14:39:00+00:00,143.15,143.15,143.1,143.13,1292.0,8.0,143.113572
STX,2025-07-01 14:40:00+00:00,143.1,143.1,143.095,143.095,1038.0,9.0,143.098853
STX,2025-07-01 14:41:00+00:00,143.125,143.125,143.05,143.05,706.0,12.0,143.1
STX,2025-07-01 14:42:00+00:00,143.115,143.115,143.06,143.06,606.0,9.0,143.096667
STX,2025-07-01 14:43:00+00:00,143.09,143.095,143.09,143.095,300.0,2.0,143.093333
STX,2025-07-01 14:44:00+00:00,143.11,143.11,143.11,143.11,268.0,6.0,143.11
STX,2025-07-01 14:45:00+00:00,143.115,143.185,143.06,143.075,1518.0,12.0,143.10844
STX,2025-07-01 14:46:00+00:00,143.08,143.13,143.08,143.13,1132.0,14.0,143.085931
STX,2025-07-01 14:48:00+00:00,143.42,143.53,143.42,143.53,278.0,7.0,143.475
STX,2025-07-01 14:49:00+00:00,143.52,143.52,143.47,143.47,829.0,11.0,143.482315
STX,2025-07-01 14:50:00+00:00,143.5,143.5,143.5,143.5,1649.0,16.0,143.5
STX,2025-07-01 14:51:00+00:00,143.67,143.69,143.67,143.69,318.0,7.0,143.68
STX,2025-07-01 14:52:00+00:00,143.67,143.67,143.58,143.58,364.0,8.0,143.633115
STX,2025-07-01 14:53:00+00:00,143.59,143.61,143.59,143.61,251.0,5.0,143.6
STX,2025-07-01 14:54:00+00:00,143.66,143.66,143.66,143.66,147.0,2.0,143.66
STX,2025-07-01 14:55:00+00:00,143.69,143.77,143.67,143.77,1100.0,9.0,143.697001
STX,2025-07-01 14:56:00+00:00,143.79,143.79,143.7,143.7,519.0,7.0,143.757654
STX,2025-07-01 14:57:00+00:00,143.64,143.64,143.64,143.64,220.0,3.0,143.64
STX,2025-07-01 14:58:00+00:00,143.63,143.63,143.54,143.54,498.0,7.0,143.601217
STX,2025-07-01 14:59:00+00:00,143.59,143.59,143.59,143.59,383.0,19.0,143.59
STX,2025-07-01 15:00:00+00:00,143.59,143.59,143.52,143.54,1178.0,12.0,143.568
STX,2025-07-01 15:01:00+00:00,143.54,143.62,143.54,143.59,558.0,12.0,143.585
STX,2025-07-01 15:02:00+00:00,143.61,143.615,143.58,143.58,637.0,7.0,143.605082
STX,2025-07-01 15:04:00+00:00,143.69,143.69,143.62,143.62,414.0,9.0,143.643333
STX,2025-07-01 15:05:00+00:00,143.61,143.61,143.61,143.61,204.0,4.0,143.61
STX,2025-07-01 15:06:00+00:00,143.65,143.65,143.65,143.65,683.0,12.0,143.65
STX,2025-07-01 15:07:00+00:00,143.56,143.56,143.56,143.56,780.0,14.0,143.56
STX,2025-07-01 15:08:00+00:00,143.32,143.32,143.17,143.17,1017.0,15.0,143.245725
STX,2025-07-01 15:09:00+00:00,143.15,143.21,143.15,143.21,769.0,15.0,143.184
STX,2025-07-01 15:10:00+00:00,143.155,143.16,143.04,143.045,1632.0,24.0,143.109636
STX,2025-07-01 15:11:00+00:00,143.045,143.09,143.03,143.09,1096.0,9.0,143.061927
STX,2025-07-01 15:12:00+00:00,143.09,143.12,143.02,143.025,690.0,9.0,143.071512
STX,2025-07-01 15:13:00+00:00,143.02,143.03,143.0,143.02,2006.0,21.0,143.012419
STX,2025-07-01 15:14:00+00:00,142.95,142.95,142.795,142.795,1215.0,16.0,142.869659
STX,2025-07-01 15:15:00+00:00,142.83,142.83,142.74,142.74,603.0,8.0,142.795
STX,2025-07-01 15:16:00+00:00,142.63,142.91,142.63,142.91,1410.0,12.0,142.7028
STX,2025-07-01 15:20:00+00:00,143.405,143.405,143.315,143.335,630.0,6.0,143.353328
STX,2025-07-01 15:21:00+00:00,143.315,143.315,143.315,143.315,230.0,6.0,143.315
STX,2025-07-01 15:22:00+00:00,143.32,143.32,143.32,143.32,100.0,1.0,143.32
STX,2025-07-01 15:23:00+00:00,143.325,143.325,143.31,143.31,211.0,5.0,143.3175
STX,2025-07-01 15:24:00+00:00,143.29,143.32,143.27,143.32,1246.0,13.0,143.296463
STX,2025-07-01 15:25:00+00:00,143.38,143.38,143.245,143.245,2465.0,13.0,143.338481
STX,2025-07-01 15:27:00+00:00,143.35,143.405,143.35,143.405,916.0,8.0,143.390987
STX,2025-07-01 15:28:00+00:00,143.38,143.385,143.38,143.385,1820.0,11.0,143.380938
STX,2025-07-01 15:29:00+00:00,143.35,143.505,143.35,143.495,4569.0,28.0,143.416666
STX,2025-07-01 15:30:00+00:00,143.52,143.545,143.5,143.545,1932.0,9.0,143.521815
STX,2025-07-01 15:31:00+00:00,143.52,143.52,143.52,143.52,110.0,2.0,143.52
STX,2025-07-01 15:32:00+00:00,143.49,143.52,143.48,143.48,1422.0,12.0,143.495861
STX,2025-07-01 15:33:00+00:00,143.49,143.62,143.49,143.62,2141.0,28.0,143.593571
STX,2025-07-01 15:34:00+00:00,143.685,143.69,143.685,143.69,528.0,6.0,143.6875
STX,2025-07-01 15:35:00+00:00,143.74,143.74,143.71,143.71,423.0,8.0,143.721952
STX,2025-07-01 15:36:00+00:00,143.71,143.725,143.7,143.7,2080.0,10.0,143.7099
STX,2025-07-01 15:37:00+00:00,143.695,143.695,143.695,143.695,216.0,9.0,143.695
STX,2025-07-01 15:38:00+00:00,143.78,143.78,143.78,143.78,231.0,5.0,143.78
STX,2025-07-01 15:39:00+00:00,143.785,143.785,143.72,143.72,706.0,10.0,143.749167
STX,2025-07-01 15:40:00+00:00,143.67,143.67,143.52,143.52,1139.0,12.0,143.582195
STX,2025-07-01 15:41:00+00:00,143.51,143.56,143.51,143.56,336.0,5.0,143.526667
STX,2025-07-01 15:42:00+00:00,143.63,143.63,143.625,143.625,600.0,5.0,143.627
STX,2025-07-01 15:43:00+00:00,143.74,143.74,143.72,143.72,1195.0,8.0,143.723646
STX,2025-07-01 15:44:00+00:00,143.58,143.58,143.58,143.58,355.0,7.0,143.58
STX,2025-07-01 15:45:00+00:00,143.5,143.5,143.5,143.5,136.0,5.0,143.5
STX,2025-07-01 15:46:00+00:00,143.675,143.675,143.57,143.57,1220.0,13.0,143.63
STX,2025-07-01 15:47:00+00:00,143.74,143.74,143.665,143.74,2453.0,13.0,143.729266
STX,2025-07-01 15:48:00+00:00,143.78,143.78,143.78,143.78,300.0,2.0,143.78
STX,2025-07-01 15:49:00+00:00,143.74,143.74,143.74,143.74,156.0,2.0,143.74
STX,2025-07-01 15:50:00+00:00,143.79,143.82,143.79,143.82,379.0,7.0,143.805
STX,2025-07-01 15:51:00+00:00,144.005,144.005,144.005,144.005,115.0,3.0,144.005
STX,2025-07-01 15:52:00+00:00,143.95,143.97,143.95,143.97,354.0,7.0,143.958696
STX,2025-07-01 15:53:00+00:00,143.9,143.9,143.88,143.88,865.0,8.0,143.88235
STX,2025-07-01 15:54:00+00:00,143.96,143.98,143.96,143.98,445.0,7.0,143.97
STX,2025-07-01 15:55:00+00:00,143.97,144.01,143.96,144.01,527.0,18.0,143.976
STX,2025-07-01 15:56:00+00:00,144.035,144.035,143.96,143.96,625.0,13.0,143.99625
STX,2025-07-01 15:57:00+00:00,143.87,143.89,143.86,143.89,1317.0,11.0,143.878111
STX,2025-07-01 15:58:00+00:00,143.81,143.82,143.81,143.82,758.0,9.0,143.812331
STX,2025-07-01 15:59:00+00:00,143.895,143.92,143.895,143.92,638.0,10.0,143.9075
STX,2025-07-01 16:00:00+00:00,143.93,143.93,143.91,143.93,1144.0,12.0,143.917561
STX,2025-07-01 16:01:00+00:00,143.94,143.94,143.91,143.91,407.0,9.0,143.925
STX,2025-07-01 16:02:00+00:00,143.87,143.87,143.82,143.84,624.0,12.0,143.843568
STX,2025-07-01 16:04:00+00:00,144.03,144.03,144.025,144.025,585.0,8.0,144.027955
STX,2025-07-01 16:05:00+00:00,144.0,144.0,144.0,144.0,320.0,6.0,144.0
STX,2025-07-01 16:07:00+00:00,144.04,144.04,144.04,144.04,236.0,4.0,144.04
STX,2025-07-01 16:10:00+00:00,144.13,144.14,144.13,144.14,573.0,2.0,144.131745
STX,2025-07-01 16:11:00+00:00,144.15,144.15,144.15,144.15,352.0,8.0,144.15
STX,2025-07-01 16:12:00+00:00,144.34,144.34,144.34,144.34,389.0,9.0,144.34
STX,2025-07-01 16:13:00+00:00,144.29,144.305,144.21,144.21,1544.0,21.0,144.278077
STX,2025-07-01 16:14:00+00:00,144.21,144.21,144.21,144.21,584.0,11.0,144.21
STX,2025-07-01 16:15:00+00:00,144.26,144.295,144.24,144.295,1288.0,13.0,144.258174
STX,2025-07-01 16:16:00+00:00,144.37,144.38,144.35,144.35,1111.0,7.0,144.362127
STX,2025-07-01 16:17:00+00:00,144.32,144.32,144.27,144.29,434.0,7.0,144.296608
STX,2025-07-01 16:18:00+00:00,144.295,144.295,144.295,144.295,276.0,6.0,144.295
STX,2025-07-01 16:19:00+00:00,144.34,144.38,144.34,144.38,1289.0,21.0,144.369877
STX,2025-07-01 16:20:00+00:00,144.38,144.38,144.38,144.38,865.0,9.0,144.38
STX,2025-07-01 16:21:00+00:00,144.32,144.32,144.23,144.23,426.0,6.0,144.295936
STX,2025-07-01 16:22:00+00:00,144.37,144.49,144.37,144.48,636.0,16.0,144.438249
STX,2025-07-01 16:23:00+00:00,144.45,144.45,144.45,144.45,297.0,6.0,144.45
STX,2025-07-01 16:24:00+00:00,144.45,144.45,144.45,144.45,826.0,10.0,144.45
STX,2025-07-01 16:27:00+00:00,144.45,144.45,144.45,144.45,309.0,5.0,144.45
STX,2025-07-01 16:28:00+00:00,144.58,144.58,144.565,144.565,2946.0,12.0,144.578956
STX,2025-07-01 16:29:00+00:00,144.58,144.58,144.56,144.56,522.0,11.0,144.570476
STX,2025-07-01 16:30:00+00:00,144.64,144.64,144.595,144.595,1070.0,16.0,144.622012
STX,2025-07-01 16:32:00+00:00,144.85,144.85,144.85,144.85,144.0,6.0,144.85
STX,2025-07-01 16:33:00+00:00,144.94,144.94,144.94,144.94,352.0,5.0,144.94
STX,2025-07-01 16:34:00+00:00,144.93,144.945,144.93,144.945,387.0,10.0,144.935
STX,2025-07-01 16:35:00+00:00,145.03,145.055,145.02,145.04,3467.0,21.0,145.031846
STX,2025-07-01 16:36:00+00:00,145.12,145.195,144.96,144.96,2299.0,24.0,145.109
STX,2025-07-01 16:37:00+00:00,144.94,144.97,144.89,144.965,967.0,15.0,144.938649
STX,2025-07-01 16:39:00+00:00,145.04,145.04,145.04,145.04,452.0,9.0,145.04
STX,2025-07-01 16:40:00+00:00,144.97,145.02,144.89,145.02,2301.0,24.0,144.938444
STX,2025-07-01 16:41:00+00:00,144.98,144.98,144.97,144.98,1429.0,10.0,144.979286
STX,2025-07-01 16:42:00+00:00,144.93,145.01,144.93,145.01,1145.0,16.0,144.974072
STX,2025-07-01 16:44:00+00:00,144.89,144.9,144.89,144.9,2178.0,26.0,144.895556
STX,2025-07-01 16:45:00+00:00,144.925,144.93,144.88,144.88,2944.0,23.0,144.913521
STX,2025-07-01 16:46:00+00:00,144.85,144.91,144.85,144.9,1245.0,19.0,144.873638
STX,2025-07-01 16:47:00+00:00,144.85,144.965,144.85,144.965,2586.0,19.0,144.930686
STX,2025-07-01 16:48:00+00:00,145.06,145.155,145.06,145.155,805.0,13.0,145.098571
STX,2025-07-01 16:49:00+00:00,145.22,145.25,145.22,145.25,206.0,3.0,145.235
STX,2025-07-01 16:50:00+00:00,145.22,145.29,145.21,145.29,801.0,15.0,145.24403
STX,2025-07-01 16:51:00+00:00,145.29,145.29,145.21,145.21,1757.0,10.0,145.233066
STX,2025-07-01 16:52:00+00:00,145.22,145.22,145.22,145.22,152.0,9.0,145.22
STX,2025-07-01 16:53:00+00:00,145.5,145.625,145.48,145.605,2744.0,20.0,145.547469
STX,2025-07-01 16:54:00+00:00,145.545,145.545,145.4,145.4,1609.0,13.0,145.495452
STX,2025-07-01 16:55:00+00:00,145.48,145.48,145.48,145.48,406.0,3.0,145.48
STX,2025-07-01 16:56:00+00:00,145.41,145.41,145.32,145.32,530.0,11.0,145.38
STX,2025-07-01 16:57:00+00:00,145.49,145.49,145.33,145.33,1303.0,12.0,145.400833
STX,2025-07-01 16:58:00+00:00,145.17,145.24,145.13,145.17,1424.0,15.0,145.200507
STX,2025-07-01 16:59:00+00:00,145.19,145.19,145.14,145.14,815.0,9.0,145.155723
STX,2025-07-01 17:00:00+00:00,145.11,145.11,145.11,145.11,269.0,5.0,145.11
STX,2025-07-01 17:01:00+00:00,145.09,145.09,145.09,145.09,653.0,6.0,145.09
STX,2025-07-01 17:02:00+00:00,145.02,145.055,145.02,145.05,832.0,10.0,145.047143
STX,2025-07-01 17:03:00+00:00,145.2,145.2,145.2,145.2,456.0,7.0,145.2
STX,2025-07-01 17:04:00+00:00,145.24,145.24,145.21,145.21,939.0,6.0,145.233597
STX,2025-07-01 17:05:00+00:00,145.19,145.19,145.19,145.19,330.0,12.0,145.19
STX,2025-07-01 17:06:00+00:00,145.29,145.29,145.265,145.265,1512.0,14.0,145.278196
STX,2025-07-01 17:07:00+00:00,145.25,145.25,145.25,145.25,217.0,5.0,145.25
STX,2025-07-01 17:09:00+00:00,145.22,145.22,145.17,145.17,1724.0,19.0,145.214819
STX,2025-07-01 17:11:00+00:00,145.24,145.24,145.24,145.24,122.0,3.0,145.24
STX,2025-07-01 17:12:00+00:00,145.31,145.33,145.31,145.33,860.0,14.0,145.327183
STX,2025-07-01 17:13:00+00:00,145.25,145.25,145.25,145.25,131.0,4.0,145.25
STX,2025-07-01 17:14:00+00:00,145.25,145.27,145.245,145.27,438.0,9.0,145.255
STX,2025-07-01 17:15:00+00:00,145.25,145.25,145.25,145.25,405.0,4.0,145.25
STX,2025-07-01 17:16:00+00:00,145.27,145.36,145.27,145.36,903.0,16.0,145.322478
STX,2025-07-01 17:21:00+00:00,145.13,145.13,145.13,145.13,124.0,3.0,145.13
STX,2025-07-01 17:25:00+00:00,145.01,145.01,145.01,145.01,151.0,6.0,145.01
STX,2025-07-01 17:26:00+00:00,145.06,145.06,145.06,145.06,271.0,9.0,145.06
STX,2025-07-01 17:27:00+00:00,145.07,145.07,145.07,145.07,105.0,1.0,145.07
STX,2025-07-01 17:28:00+00:00,145.2,145.23,145.2,145.23,306.0,5.0,145.215
STX,2025-07-01 17:30:00+00:00,145.33,145.33,145.33,145.33,189.0,4.0,145.33
STX,2025-07-01 17:33:00+00:00,145.13,145.13,145.13,145.13,494.0,16.0,145.13
STX,2025-07-01 17:35:00+00:00,145.29,145.29,145.29,145.29,307.0,5.0,145.29
STX,2025-07-01 17:37:00+00:00,145.09,145.09,145.09,145.09,244.0,8.0,145.09
STX,2025-07-01 17:38:00+00:00,145.32,145.32,145.32,145.32,267.0,6.0,145.32
STX,2025-07-01 17:39:00+00:00,145.43,145.43,145.34,145.34,800.0,12.0,145.358
STX,2025-07-01 17:41:00+00:00,145.39,145.39,145.39,145.39,547.0,6.0,145.39
STX,2025-07-01 17:42:00+00:00,145.385,145.385,145.34,145.34,438.0,4.0,145.3625
STX,2025-07-01 17:44:00+00:00,145.34,145.34,145.34,145.34,320.0,6.0,145.34
STX,2025-07-01 17:45:00+00:00,145.465,145.465,145.34,145.34,425.0,5.0,145.4125
STX,2025-07-01 17:46:00+00:00,145.37,145.37,145.37,145.37,301.0,4.0,145.37
STX,2025-07-01 17:48:00+00:00,145.37,145.37,145.37,145.37,378.0,4.0,145.37
STX,2025-07-01 17:50:00+00:00,145.41,145.56,145.38,145.56,1028.0,14.0,145.440564
STX,2025-07-01 17:51:00+00:00,145.61,145.61,145.59,145.595,845.0,8.0,145.595625
STX,2025-07-01 17:52:00+00:00,145.595,145.625,145.595,145.625,714.0,5.0,145.614286
STX,2025-07-01 17:53:00+00:00,145.68,145.68,145.63,145.63,391.0,6.0,145.646667
STX,2025-07-01 17:54:00+00:00,145.54,145.54,145.53,145.53,300.0,4.0,145.535
STX,2025-07-01 17:55:00+00:00,145.535,145.535,145.53,145.53,378.0,4.0,145.531479
STX,2025-07-01 17:56:00+00:00,145.56,145.56,145.56,145.56,288.0,3.0,145.56
STX,2025-07-01 17:57:00+00:00,145.59,145.59,145.59,145.59,124.0,3.0,145.59
STX,2025-07-01 17:58:00+00:00,145.55,145.58,145.55,145.58,434.0,6.0,145.565
STX,2025-07-01 17:59:00+00:00,145.7,145.72,145.665,145.665,1602.0,13.0,145.695333
STX,2025-07-01 18:00:00+00:00,145.66,145.66,145.66,145.66,121.0,3.0,145.66
STX,2025-07-01 18:01:00+00:00,145.685,145.685,145.54,145.54,550.0,7.0,145.624
STX,2025-07-01 18:02:00+00:00,145.465,145.465,145.45,145.45,681.0,7.0,145.46
STX,2025-07-01 18:03:00+00:00,145.45,145.455,145.41,145.41,1557.0,21.0,145.450823
STX,2025-07-01 18:04:00+00:00,145.59,145.665,145.59,145.665,437.0,6.0,145.64625
STX,2025-07-01 18:05:00+00:00,145.665,145.67,145.63,145.665,810.0,6.0,145.66125
STX,2025-07-01 18:06:00+00:00,145.67,145.71,145.67,145.695,1367.0,12.0,145.689231
STX,2025-07-01 18:07:00+00:00,145.61,145.61,145.61,145.61,246.0,7.0,145.61
STX,2025-07-01 18:08:00+00:00,145.565,145.57,145.52,145.52,666.0,7.0,145.56
STX,2025-07-01 18:09:00+00:00,145.51,145.57,145.51,145.57,500.0,3.0,145.534
STX,2025-07-01 18:10:00+00:00,145.41,145.41,145.41,145.41,328.0,8.0,145.41
STX,2025-07-01 18:11:00+00:00,145.34,145.34,145.32,145.325,1457.0,16.0,145.325769
STX,2025-07-01 18:12:00+00:00,145.44,145.445,145.44,145.445,616.0,4.0,145.441667
STX,2025-07-01 18:14:00+00:00,145.51,145.51,145.51,145.51,529.0,5.0,145.51
STX,2025-07-01 18:18:00+00:00,145.38,145.38,145.38,145.38,130.0,3.0,145.38
STX,2025-07-01 18:20:00+00:00,145.39,145.43,145.39,145.43,411.0,11.0,145.41
STX,2025-07-01 18:22:00+00:00,145.45,145.45,145.45,145.45,225.0,3.0,145.45
STX,2025-07-01 18:23:00+00:00,145.455,145.455,145.33,145.33,584.0,8.0,145.413333
STX,2025-07-01 18:25:00+00:00,145.32,145.32,145.285,145.285,258.0,4.0,145.3025
STX,2025-07-01 18:26:00+00:00,145.33,145.33,145.25,145.25,821.0,8.0,145.318571
STX,2025-07-01 18:27:00+00:00,145.27,145.27,145.27,145.27,450.0,3.0,145.27
STX,2025-07-01 18:28:00+00:00,145.225,145.225,145.225,145.225,267.0,5.0,145.225
STX,2025-07-01 18:29:00+00:00,145.27,145.27,145.26,145.26,490.0,12.0,145.263333
STX,2025-07-01 18:33:00+00:00,145.395,145.395,145.395,145.395,183.0,5.0,145.395
STX,2025-07-01 18:35:00+00:00,145.395,145.395,145.38,145.38,316.0,3.0,145.39
STX,2025-07-01 18:36:00+00:00,145.375,145.38,145.335,145.335,896.0,8.0,145.364286
STX,2025-07-01 18:37:00+00:00,145.325,145.405,145.325,145.39,1131.0,7.0,145.382727
STX,2025-07-01 18:38:00+00:00,145.38,145.38,145.38,145.38,200.0,1.0,145.38
STX,2025-07-01 18:39:00+00:00,145.415,145.415,145.415,145.415,308.0,4.0,145.415
STX,2025-07-01 18:48:00+00:00,145.53,145.53,145.53,145.53,300.0,4.0,145.53
STX,2025-07-01 18:49:00+00:00,145.63,145.675,145.63,145.675,859.0,13.0,145.663333
STX,2025-07-01 18:50:00+00:00,145.66,145.66,145.645,145.645,2008.0,18.0,145.653529
STX,2025-07-01 18:51:00+00:00,145.64,145.64,145.56,145.56,1642.0,22.0,145.592
STX,2025-07-01 18:54:00+00:00,145.615,145.64,145.615,145.63,711.0,10.0,145.628
STX,2025-07-01 18:55:00+00:00,145.64,145.72,145.64,145.72,732.0,11.0,145.6975
STX,2025-07-01 18:56:00+00:00,145.72,145.72,145.67,145.71,808.0,9.0,145.7
STX,2025-07-01 18:57:00+00:00,145.66,145.685,145.65,145.685,925.0,13.0,145.676316
STX,2025-07-01 18:58:00+00:00,145.7,145.7,145.685,145.685,788.0,8.0,145.687143
STX,2025-07-01 19:00:00+00:00,145.36,145.36,145.25,145.32,5957.0,52.0,145.310747
STX,2025-07-01 19:01:00+00:00,145.27,145.275,145.16,145.16,4564.0,55.0,145.236953
STX,2025-07-01 19:02:00+00:00,145.185,145.185,145.125,145.125,1211.0,13.0,145.16
STX,2025-07-01 19:03:00+00:00,145.08,145.21,145.08,145.21,487.0,9.0,145.13
STX,2025-07-01 19:04:00+00:00,145.36,145.42,145.33,145.33,1118.0,13.0,145.375
STX,2025-07-01 19:05:00+00:00,145.24,145.25,145.24,145.25,693.0,9.0,145.245
STX,2025-07-01 19:06:00+00:00,145.195,145.195,145.14,145.14,711.0,14.0,145.17
STX,2025-07-01 19:07:00+00:00,144.94,144.94,144.94,144.94,161.0,9.0,144.94
STX,2025-07-01 19:08:00+00:00,144.935,144.935,144.935,144.935,146.0,3.0,144.935
STX,2025-07-01 19:10:00+00:00,144.91,144.93,144.91,144.92,3214.0,27.0,144.923251
STX,2025-07-01 19:11:00+00:00,145.01,145.01,145.01,145.01,478.0,5.0,145.01
STX,2025-07-01 19:12:00+00:00,144.99,145.075,144.9,145.055,1247.0,19.0,145.027222
STX,2025-07-01 19:13:00+00:00,145.03,145.03,145.02,145.02,613.0,6.0,145.026364
STX,2025-07-01 19:14:00+00:00,145.085,145.145,145.06,145.145,933.0,11.0,145.091875
STX,2025-07-01 19:15:00+00:00,145.18,145.19,145.18,145.19,756.0,16.0,145.183781
STX,2025-07-01 19:16:00+00:00,145.215,145.28,145.215,145.28,410.0,4.0,145.236667
STX,2025-07-01 19:17:00+00:00,145.44,145.44,145.265,145.265,1482.0,17.0,145.384468
STX,2025-07-01 19:18:00+00:00,145.27,145.3,145.27,145.295,643.0,11.0,145.291
STX,2025-07-01 19:19:00+00:00,145.26,145.26,145.255,145.255,743.0,12.0,145.257
STX,2025-07-01 19:20:00+00:00,145.21,145.27,145.195,145.27,936.0,17.0,145.216667
STX,2025-07-01 19:22:00+00:00,145.53,145.53,145.465,145.465,898.0,14.0,145.497776
